brand_name,url_string,category_name
Henkel,www.henkel.com/,"Personal Care"
Lubriderm,www.lubriderm.com/,"Personal Care"
Gud,www.gudhappens.com/,"Personal Care"
ACT,www.actfluoride.com/,"Personal Care"
Kotex,www.kotex.com/,"Personal Care"
"Degree Men / Rexona Men",www.degreedeodorant.com/en/men/,"Personal Care"
Curel,www.curel.com/,"Personal Care"
Clarisonic,www.clarisonic.com/,"Personal Care"
"Summer's Eve",www.summerseve.com/,"Personal Care"
"Old Spice",www.oldspice.com/,"Personal Care"
Edge,www.edgeshave.com/,"Personal Care"
"Dry Idea",dryidea.com/,"Personal Care"
Nair,www.naircare.com/,"Personal Care"
Veet,www.veet.us/,"Personal Care"
Scope,www.scopemouthwash.com/,"Personal Care"
Aquafresh,www.aquafresh.com/,"Personal Care"
"Arm & Hammer",www.armandhammer.com/,"Personal Care"
Ban,www.feelbanfresh.com/,"Personal Care"
Pull-Ups,www.pull-ups.com/,"Personal Care"
Sure,www.suredeodorant.com/,"Personal Care"
Rembrandt,www.rembrandt.com/,"Personal Care"
Always,www.always.com/,"Personal Care"
Crest,www.crest.com/,"Personal Care"
"Dial For Men",dialformen.com/,"Personal Care"
Listerine,www.listerine.com/,"Personal Care"
"Dove Men+Care",www.dovemencare.com/,"Personal Care"
Braun,www.braun.com/,"Personal Care"
Playtex,www.playtexplayon.com/,"Personal Care"
Skintimate,www.skintimate.com,"Personal Care"
Colgate,www.colgate.com/,"Personal Care"
"Tom's of Maine",www.tomsofmaine.com/,"Personal Care"
Luvs,www.luvsdiapers.com/,"Personal Care"
Method,methodhome.com/,"Personal Care"
Oral-B,www.oralb.com/,"Personal Care"
Sensodyne,us.sensodyne.com/,"Personal Care"
Eucerin,www.eucerin.com/,"Personal Care"
"Right Guard",rightguard.com/,"Personal Care"
Febreze,www.febreze.com/,"Personal Care"
Huggies,www.huggies.com/,"Personal Care"
"Gold Bond",www.goldbond.com/,"Personal Care"
Barbasol,www.barbasol.com/,"Personal Care"
Mitchum,www.mitchum.com/,"Personal Care"
"Lady Speed Stick",www.colgate.com/app/Colgate/US/PC/TeenSpirit/HomePage.cvsp,"Personal Care"
Bic,www.bicworld.com/,"Personal Care"
Kleenex,www.kleenex.com/,"Personal Care"
